item_name,description,github,gist,gitlab,bitbucket,launchpad,twitter,youtube,blogpost,cran,pypi,codeberg,website,publication,DOI,author1_name,author2_name,author3_name,author4_name,author5_name,author6_name,category,platform,tag1,tag2,tag3,tag4,tag5,notes,internetarchive
photogrammetry-object-scannner,Created for the very-specific purpose of communicating via android with a raspberry pi running a scanner.,https://github.com/anatolian/photogrammetry-object-scannner,,,,,,,,,,,,,,anatolian,,,,,,Standalone software,,Photogrammetry,,,,,,https://archive.org/details/github.com-anatolian-photogrammetry-object-scannner_-_2019-06-22_03-21-09
ARFloorPlanApp,Floor plan app using augmented reality.,https://github.com/carlsun98/ARFloorPlanApp,,,,,,,,,,,,,,carlsun98,,,,,,Standalone software,,Augmented reality,,,,,,https://archive.org/details/github.com-carlsun98-ARFloorPlanApp_-_2018-07-27_22-02-36
arshm-release,Experimental mobile app demoing cultural heritage documentation tools in augmented reality. Supports capturing and annotating photos in 3D space. Proof-of-concept features in the app include image anchoring and surface drawing tools.,https://github.com/zacharyliu/arshm-release,,,,,,,,,,,,,,zacharyliu,,,,,,Packages and libraries,Mobile app,Augmented reality,,,,,,https://archive.org/details/github.com-zacharyliu-arshm-release_-_2018-07-27_23-22-39
DroneSurveyPlanner,This is a LibreOffice Calc spreadsheet designed to help you plan an aerial drone mapping survey mission.,https://github.com/isaacullah/DroneSurveyPlanner,,,,,,,,,,,http://isaacullah.github.io/DroneSurveyPlanner/,,,isaacullah,,,,,,Packages and libraries,LibreOffice Calc,Drones,Aerial and satellite imagery,,,,,https://archive.org/details/github.com-isaacullah-DroneSurveyPlanner_-_2018-01-02_23-32-47
benmarwickDY-XYZ-data-on-an-irregular-grid-to-an-interpolated-raster.r,"Plotting remote sensing data, especially how to go from XYZ data on an irregular grid to an interpolated raster",,https://gist.github.com/benmarwick/7331879,,,,,,,,,,,,,benmarwick,,,,,,Scripts,R,Aerial and satellite imagery,,,,,,https://archive.org/details/gist.github.com-7331879_-_2015-12-27_20-29-23
Al2O3_AnalysisApp,Shiny app to analyse Al2O3:C measurements,https://github.com/crp2a/Al2O3_AnalysisApp,,,,,,,,,,,,,,RLumSK,,,,,,Scripts,R,Luminescence dating,,,,,,https://archive.org/details/github.com-crp2a-Al2O3_AnalysisApp_-_2019-08-16_14-29-35
Luminescence,Development version of the R package 'Luminescence'. The R package 'Luminescence' by the R-Luminescence Group provides a collection of various R functions for luminescence dating data analysis.,https://github.com/R-Lum/Luminescence,,,,,,,,https://cloud.r-project.org/web/packages/Luminescence/index.html,,,https://r-lum.github.io/Luminescence/,,,R-Lum,,,,,,Packages and libraries,R,Luminescence dating,,,,,,https://archive.org/details/github.com-R-Lum-Luminescence_-_2021-02-01_17-37-18
BayLum,"An R package for chronological Bayesian models integrated for Optically Stimulated OSL, Luminescence Dating",https://github.com/crp2a/BayLum,,,,,,,,,,,https://baylum.archaeo.science/,,,R-Lum,,,,,,Packages and libraries,R,Luminescence dating,,,,,,https://archive.org/details/github.com-crp2a-BayLum_-_2021-01-03_12-01-54
RLumModel,Solving Ordinary Differential Equations to Understand Luminescence,https://github.com/R-Lum/RLumModel,,,,,,,,,,,,,,R-Lum,,,,,,Packages and libraries,R,Luminescence dating,,,,,,https://archive.org/details/github.com-R-Lum-RLumModel_-_2021-01-03_13-13-23
Rcarb,The R package 'RCarb' provides a collection of various R functions to model dose rates in carbonate-rich samples. The package is a translation of the 'MATLAB' program Carb by Roger P. Nathan,https://github.com/R-Lum/RCarb,,,,,,,,,,,,,,R-Lum,,,,,,Packages and libraries,R,Luminescence dating,,,,,,https://archive.org/details/github.com-R-Lum-RCarb_-_2021-01-03_12-21-09
LumReader,R package to simulate a Luminescence Reader,https://github.com/dstreble/LumReader,,,,,,,,,,,,,,dstreble,,,,,,Packages and libraries,R,Luminescence dating,,,,,,https://archive.org/details/github.com-dstreble-LumReader_-_2017-01-26_13-55-17
Tldating,R package for TL dating,https://github.com/dstreble/TLdating,,,,,,,,,,,,,,dstreble,,,,,,Packages and libraries,R,Luminescence dating,,,,,,https://archive.org/details/github.com-dstreble-TLdating_-_2017-09-06_14-41-46
shiny_Tldating,Shiny app for TL dating,https://github.com/dstreble/shiny_TLdating,,,,,,,,,,,,,,dstreble,,,,,,Scripts,R,Luminescence dating,,,,,,https://archive.org/details/github.com-dstreble-shiny_TLdating_-_2016-11-02_16-04-05
DRAC-calculator,DRAC is a Dose Rate and Age Calculator which has been designed to calculate environmental dose rates (_) and ages for trapped charge dating applications,https://github.com/DRAC-calculator/DRAC-calculator,,,,,,,,,,,,,,DRAC-calculator,,,,,,Standalone software,,Luminescence dating,,,,,,https://archive.org/details/github.com-DRAC-calculator-DRAC-calculator_-_2016-09-07_16-22-39
shiny_DRAC,graphical interface for DRAC,https://github.com/dstreble/shiny_DRAC,,,,,,,,,,,,,,dstreble,,,,,,Standalone software,,Luminescence dating,,,,,,https://archive.org/details/github.com-dstreble-shiny_DRAC_-_2016-11-02_16-04-27
rxylib,R package: wrapper for the C+library xylib,https://github.com/R-Lum/rxylib,,,,,,,,,,,,,,R-Lum,,,,,,Packages and libraries,R,Luminescence dating,,,,,,https://archive.org/details/github.com-R-Lum-rxylib_-_2021-01-03_13-06-26
osl_calibration.r,osl_calibration,,https://gist.github.com/benmarwick/5f996a0f52ba1d92f76968119f941bd8,,,,,,,,,,,,,benmarwick,,,,,,Scripts,R,Luminescence dating,,,,,,https://archive.org/details/gist.github.com-5f996a0f52ba1d92f76968119f941bd8_-_2016-05-10_07-53-04
crp2a,Dose Rate Estimation from In-Situ Gamma-Ray Spectrometry Measurements for Luminescence Dating,https://github.com/crp2a/gamma,,,,,,,,,,,https://gamma.archaeo.science/,,,gamma,,,,,,Packages and libraries,R,Luminescence dating,,,,,,https://archive.org/details/github.com-crp2a-gamma_-_2021-01-14_11-31-46
paleoxrf,The goal of paleoxrf is to simplify reading data from Acadia's paleoenvironmental X-Ray Fluorescence laboratory,https://github.com/paleolimbot/paleoxrf,,,,,,,,,,,,,,paleolimbot,,,,,,Packages and libraries,R,X-Ray Fluorescence,,,,,,https://archive.org/details/github.com-paleolimbot-paleoxrf_-_2019-04-01_17-07-08
xrf,"The goal of xrf is to provide tools to read, plot, and interpret X-Ray fluorescence spectra",https://github.com/paleolimbot/xrftools,,,,,,,,,,,,,,paleolimbot,,,,,,Packages and libraries,R,X-Ray Fluorescence,,,,,,https://archive.org/details/github.com-paleolimbot-xrftools_-_2020-07-14_14-17-56
CloudCal,This app will allow you to build & apply calibrations for the Tracer & Artax series of XRF devices,https://github.com/leedrake5/CloudCal,,,,,,,,,,,,,,leedrake5,,,,,,Scripts,R,X-Ray Fluorescence,,,,,,https://archive.org/details/github.com-leedrake5-CloudCal_-_2021-02-02_19-39-49
NAA analytical dashboard,Analytical Dashboard for conducting various analysis to group and assess groupings for Neutron Activation Analytical chemical compositional data,https://github.com/mpeeples2008/NAA_analytical_dashboard,,,,,,,,,,,http://nsls-ii.github.io/PyXRF/,,,mpeeples2008,,,,,,Scripts,R,Instrumental Neutron activation analysis,,,,,,https://archive.org/details/github.com-mpeeples2008-NAA_analytical_dashboard_-_2018-10-24_03-38-28
Bchron,"Radiocarbon Dating, Age-Depth Modelling, Relative Sea Level Rate Estimation, and Non-Parametric Phase Modelling",https://github.com/andrewcparnell/Bchron,,,,,,,,https://cran.rstudio.com/web/packages/Bchron/index.html,,,,,,andrewcparnell,,,,,,Packages and libraries,R,"Radiocarbon dating, calibration and sequencing",,,,,,https://archive.org/details/github.com-andrewcparnell-Bchron_-_2021-02-01_13-37-47
rcarbon,Methods for calibrating and analysing radiocarbon dates,https://github.com/ahb108/rcarbon,,,,,,,,,,,,,,ahb108,,,,,,Packages and libraries,R,"Radiocarbon dating, calibration and sequencing",,,,,,https://archive.org/details/github.com-ahb108-rcarbon_-_2021-02-04_16-06-01
IOSACal,IOSACal is an open source tool for radiocarbon calibration,,,,,,,,,,https://pypi.org/project/iosacal/,https://codeberg.org/steko/iosacal,https://iosacal.readthedocs.io/en/latest/,,10.5281/zenodo.630455,iosa,,,,,,Standalone software,,"Radiocarbon dating, calibration and sequencing",,,,,,https://archive.org/details/codeberg.org-steko-iosacal_-_2021-01-28_00-04-29
carbon14,"The goal of carbon14 is to provide a tidy interface to radiocarbon dating, to promote its inclusion in reproducible manuscripts",https://github.com/paleolimbot/carbon14,,,,,,,,,,,,,,paleolimbot,,,,,,Packages and libraries,R,"Radiocarbon dating, calibration and sequencing",,,,,,https://archive.org/details/github.com-paleolimbot-carbon14_-_2018-03-14_14-20-15
clustering_14C,"A python implementation of the method of clustering radiocarbon dates in order to determine whether they represent separate events, or phases in time",https://github.com/demjanp/clustering_14C,,,,,,,,,,,,,,demjanp,,,,,,Packages and libraries,Python,"Radiocarbon dating, calibration and sequencing",,,,,,https://archive.org/details/github.com-demjanp-clustering_14C_-_2020-09-10_17-32-20
magAAR,Analyse geomagnetic data from archaeological context,https://github.com/ISAAKiel/magAAR,,,,,,,,,,,,,,ISAAKiel,,,,,,Packages and libraries,R,Geophysical survey,,,,,,https://archive.org/details/github.com-ISAAKiel-magAAR_-_2017-06-10_14-34-21
RGPR,"RGPR is a free and open-source software package to read, export, analyse, process and visualise ground-penetrating radar (GPR) data",https://github.com/emanuelhuber/RGPR,,,,,,,,,,,http://emanuelhuber.github.io/RGPR/,,,emanuelhuber,,,,,,Packages and libraries,R,Geophysical survey,,,,,,https://archive.org/details/github.com-emanuelhuber-RGPR_-_2021-02-08_18-17-57
archiedb,A light-weight database application designed to standardize and simplify data entry of archaeological or historical artifacts,https://github.com/archiedb/archie,,,,,,,,,,,,,,archie,,,,,,Standalone software,,Data management,,,,,,https://archive.org/details/github.com-archiedb-archie_-_2018-09-30_23-00-43
archaeology-object-data-collector-app,archaeology-object-data-collector-app,https://github.com/anatolian/archaeology-object-data-collector-app,,,,,,,,,,,,,,anatolian,,,,,,Packages and libraries,Mobile app,Data management,,,,,,https://archive.org/details/github.com-anatolian-archaeology-object-data-collector-app_-_2018-06-27_09-58-13
AIS,Archaeological Information System,https://github.com/andredebuisne/AIS,,,,,,,,,,,,,,andredebuisne,,,,,,Standalone software,,Data management,,,,,,https://archive.org/details/github.com-andredebuisne-AIS_-_2017-12-24_11-44-22
ARK1,"The ARK v1.1.2 Stable Release. ARK (The Archaeological Recording Kit) is a web-based 'toolkit' for the collection, storage and dissemination of archaeological data. It includes data-editing, data-creation, data-viewing and data-sharing tools, all of which are delivered using a web-based front-end.",https://github.com/lparchaeology/ARK1,,,,,,,,,,,,,,L-P Archaeology,,,,,,Standalone software,,Data management,,,,,,https://archive.org/details/github.com-lparchaeology-ARK1_-_2017-11-27_14-43-51
Ark2,"ARK (The Archaeological Recording Kit) 2.0 Development Repository. ARK (The Archaeological Recording Kit) is a web-based 'toolkit' for the collection, storage and dissemination of archaeological data. It includes data-editing, data-creation, data-viewing and data-sharing tools, all of which are delivered using a web-based front-end.",https://github.com/lparchaeology/ARK2,,,,,,,,,,,,,,L-P Archaeology,,,,,,Standalone software,,Data management,,,,,,
ark-addons,"This is a Django project to obtain statistical information from an ARK project. It is aimed to mine data from archaeological databases and create customizable visualizations, querying both text and geographical data.",https://github.com/fradeve/ark-addons,,,,,,,,,,,,,,fradeve,,,,,,Standalone software,,Data management,,,,,,https://archive.org/details/github.com-fradeve-ark-addons_-_2014-10-30_23-48-58
profileAAR,python qgis plugin of recexcavAAR's archprofile,https://github.com/ISAAKiel/profileAAR,,,,,,,,,,,,,,ISAAKiel,,,,,,Packages and libraries,QGIS,Data management,,,,,,https://archive.org/details/github.com-ISAAKiel-profileAAR_-_2019-07-04_11-47-50
ArchJobCAD,Tasks for Excavations in AutoCAD,https://github.com/ISAAKiel/ArchJobCAD,,,,,,,,,,,,,,ISAAKiel,,,,,,Packages and libraries,AutoCAD,Data management,,,,,,https://archive.org/details/github.com-ISAAKiel-ArchJobCAD_-_2021-03-10_12-29-45
nervia,Management system for physical storage of archaeological finds,https://github.com/steko/nervia,,,,,,,,,,https://codeberg.org/steko/nervia,,,,steko,,,,,,Standalone software,,Data management,,,,,,https://archive.org/details/codeberg.org-steko-nervia_-_2020-06-22_07-37-06
pyArchInit,A python plugin for QGIS aimed at managing data from archaeological contexts on the GIS platform,,,,,,,,,,,,https://sites.google.com/site/pyarchinit/,,,,,,,,,Packages and libraries,QGIS,Data management,,,,,,
tidypaleo,This package simplifies a few workflows when working with multi-proxy paleo-archive data,https://github.com/paleolimbot/tidypaleo,,,,,,,,,,,,,,paleolimbot,,,,,,Packages and libraries,R,Data management,,,,,,https://archive.org/details/github.com-paleolimbot-tidypaleo_-_2020-12-30_14-14-17
historical-geocoding-assistant,Tool for assisted geocoding of historical datasets (something between a manual table editing and automated geocoding script),https://github.com/adammertel/historical-geocoding-assistant,,,,,,,,,,,,,,adammertel,,,,,,Standalone software,,Data management,,,,,,https://archive.org/details/github.com-adammertel-historical-geocoding-assistant_-_2021-02-04_13-33-32
ODKArchForms,"Open Data Kit forms and conversion scripts used in archaeology. Including New Mexico LA Forms, photologs, etc",https://github.com/UNMOCA/ODKArchForms,,,,,,,,,,,,,,UNMOCA,,,,,,Packages and libraries,Open Data Kit,Data management,,,,,,https://archive.org/details/github.com-UNMOCA-ODKArchForms_-_2016-02-17_22-32-59
E5,E5 is a generalized data entry program intended for archaeologists that works with a configuration file where the data entry fields are defined,https://github.com/surf3s/E5,,,,,,,,,,,,,,surf3s,,,,,,Standalone software,,Data management,,,,,,https://archive.org/details/github.com-surf3s-E5_-_2019-11-15_12-18-58
dedalo,"Dedalo is a knowledge management system for Cultural Heritage (tangible and intangible), Natural Heritage and Oral History/Memory.",https://github.com/renderpci/dedalo,,,,,,,,,,,,,,renderpci,,,,,,Standalone software,,Data management,,,,,,https://archive.org/details/github.com-renderpci-dedalo_-_2021-01-16_08-50-03
ishtar,"Ishtar is a database project for managing archaeological data and documentation from archaeological operations, that prioritizes maximum traceability of the information. Designed to enable inter-database communication, the Ishtar project aims rather to a distributed information model than a centralized one: communication between the databases is favored.",,,https://gitlab.com/iggdrasil/ishtar,,,,,,,,,https://ishtar-archeo.net/en/,,,iggdrasil,,,,,,Standalone software,,Data management,,,,,,https://archive.org/details/gitlab.com-iggdrasil-ishtar_-_2021-02-12_16-06-23
Stratibase,"Stratibase is a minimal field recording database application (currently in FileMaker FP7 format software), aimed at the simplest structure possible to perform the basic functions of a stratigraphic recording.",,,,,,,,,,,,https://abp.hypotheses.org/le-programme-bassin-parisien/les-projets/les-projets-associes-au-programme/fsn,,,Bruno Desachy,,,,,,Standalone software,,Data management,,,,,,
Fiche Stratigraphique Numérique (FSN),Fiche Stratigraphique Numerique (FSN) is an application project for field recording and management of archaeological operations data.,,,,,,,,,,,,https://abp.hypotheses.org/le-programme-bassin-parisien/les-projets/les-projets-associes-au-programme/fsn,,,Bruno Desachy,,,,,,Standalone software,,Data management,,,,,,
QuARI,"A database interface designed to facilitate the irregular, iterative, and non-linear workflows that are commonly employed in lithic analysis.",https://github.com/zackbatist/QuARI,,,,,,,,,,,,,10.1017/aap.2021.11,zackbatist,dcontre,Ciara Zogheib,,,,Scripts,R,Data collection,Lithic analysis,,,,,https://archive.org/details/github.com-zackbatist-QuARI_-_2021-01-29_14-34-38
paleocoreR,R package for interacting with the Paleocore API,https://github.com/paleocore/paleocoreR,,,,,,,,,,,http://paleocore.github.io/paleocoreR/,,,paleocore,,,,,,Packages and libraries,R,API interfaces and web scrapers,,,,,,https://archive.org/details/github.com-paleocore-paleocoreR_-_2014-07-18_20-59-37
binford,"Datasets used in Binford's 2001 book ""Constructing Frames of Reference: An Analytical Method for Archaeological Theory Building Using Ethnographic and Environmental Data Sets",https://github.com/benmarwick/binford,,,,,,,,,,,,,,benmarwick,,,,,,Lists and datasets,,Datasets,,,,,,https://archive.org/details/github.com-benmarwick-binford_-_2017-06-20_12-21-46
evoarchdata,Datasets from studies of cultural evolution in Archaeology,https://github.com/benmarwick/evoarchdata,,,,,,,,,,,,,,benmarwick,,,,,,Lists and datasets,,Datasets,Cultural evolution,,,,,https://archive.org/details/github.com-benmarwick-evoarchdata_-_2020-08-20_14-00-44
DObsiSS,The Database of Obsidian Sourcing Studies,https://github.com/zackbatist/DObsiSS,,,,,,,,,,,,,,zackbatist,,,,,,Lists and datasets,,Datasets,,,,,,https://archive.org/details/github.com-zackbatist-DObsiSS_-_2017-01-25_04-57-41
cawd,An R package that collects together data for the ancient world,https://github.com/sfsheath/cawd,,,,,,,,,,,,,,sfsheath,,,,,,Packages and libraries,R,API interfaces and web scrapers,,,,,,https://archive.org/details/github.com-sfsheath-cawd_-_2017-12-21_20-32-33
shkrdata,Package for downloading and preparing shkr data for archaeological analysis,https://github.com/ISAAKiel/shkrdata,,,,,,,,,,,,,,ISAAKiel,,,,,,Packages and libraries,R,API interfaces and web scrapers,,,,,,https://archive.org/details/github.com-ISAAKiel-shkrdata_-_2020-07-20_09-44-14
archdata,The archdata package provides several types of data that are typically used in archaeological research,,,,,,,,,https://cran.rstudio.com/web/packages/archdata/index.html,,,,,,David L. Carlson,Georg Roth,,,,,Packages and libraries,R,Datasets,,,,,,
benmarwickopencontext.r,Experimenting with the opencontext.org API using R,,https://gist.github.com/benmarwick/50aa4c39b7d955d0ec40,,,,,,,,,,,,,benmarwick,,,,,,Scripts,R,API interfaces and web scrapers,,,,,,https://archive.org/details/gist.github.com-50aa4c39b7d955d0ec40_-_2016-09-16_22-55-57
radiocarbon-scrapers,Scrapers for public radiocarbon databases,,,,,,,,,,,https://codeberg.org/steko/radiocarbon-scrapers,,,,steko,,,,,,Scripts,JavaScript,API interfaces and web scrapers,,,,,,https://archive.org/details/codeberg.org-steko-radiocarbon-scrapers_-_2020-03-27_10-55-09
R-Scripts,"This contains a set of data about human mobility, subsistance, population, and environmental productivity derived from the Standard Cross Cultural Sample",https://github.com/isaacullah/R-Scripts,,,,,,,,,,,,,,isaacullah,,,,,,Lists and datasets,,Datasets,,,,,,https://archive.org/details/github.com-isaacullah-R-Scripts_-_2018-04-23_23-56-35
roman-empire,Map of the Roman Empire made with vector tiles,https://github.com/klokantech/roman-empire,,,,,,,,,,,,,,klokantech,,,,,,Lists and datasets,,Datasets,,,,,,https://archive.org/details/github.com-klokantech-roman-empire_-_2020-10-23_20-34-48
roman-amphitheaters,A dataset and discussion relating to Roman amphitheaters,https://github.com/sfsheath/roman-amphitheaters,,,,,,,,,,,,,,sfsheath,,,,,,Lists and datasets,,Datasets,,,,,,https://archive.org/details/github.com-sfsheath-roman-amphitheaters_-_2020-06-19_14-28-07
ramphs,Roman amphitheater data as R package,https://github.com/sfsheath/ramphs,,,,,,,,,,,,,,sfsheath,,,,,,Lists and datasets,,Datasets,,,,,,https://archive.org/details/github.com-sfsheath-ramphs_-_2014-12-19_20-59-57
roman-maps,These are geojson files relevant to Roman history. Initially they are all derived from the Ancient World Mapping Center's set of CC-BY-NC licensed shapefiles.,https://github.com/sfsheath/roman-maps,,,,,,,,,,,,,,sfsheath,,,,,,Lists and datasets,,Datasets,,,,,,https://archive.org/details/github.com-sfsheath-roman-maps_-_2014-09-22_01-44-03
gorbit,Making the freely available and excellent Orbis data just a little bit more easy to use.,https://github.com/sfsheath/gorbit,,,,,,,,,,,,,,sfsheath,,,,,,Lists and datasets,,Datasets,,,,,,https://archive.org/details/github.com-sfsheath-gorbit_-_2015-01-27_16-16-08
rorbium,Orbis data as an R package,https://github.com/sfsheath/rorbium,,,,,,,,,,,,,,sfsheath,,,,,,Lists and datasets,,Datasets,,,,,,https://archive.org/details/github.com-sfsheath-rorbium_-_2014-12-25_21-10-56
aca_data_collection,collection of archaeological data for training purposes.,https://github.com/archca/aca_data_collection,,,,,,,,,,,,,,archca,,,,,,Lists and datasets,,Datasets,,,,,,https://archive.org/details/github.com-archca-aca_data_collection_-_2019-08-13_12-25-24
ancient-ceramic-kilns,"GeoJSON files for ceramic kilns of the ancient world, no chronological/spatial boundaries",,,,,,,,,,,https://codeberg.org/steko/ancient-ceramic-kilns,,,,steko,,,,,,Lists and datasets,,Datasets,Ceramic analysis,,,,,https://archive.org/details/codeberg.org-steko-ancient-ceramic-kilns_-_2020-04-18_22-52-07
neotoma,Programmatic R interface to the Neotoma Paleoecological Database,https://github.com/ropensci/neotoma,,,,,,,,,,,,,,ropensci,,,,,,Packages and libraries,R,API interfaces and web scrapers,,,,,,https://archive.org/details/github.com-ropensci-neotoma_-_2020-09-20_18-21-19
c14bazAAR,"R package to query different openly accessible radiocarbon date databases, allowing for basic data cleaning, calibration and merging",https://github.com/ropensci/c14bazAAR,,,,,,,,,,,,https://doi.org/10.21105/joss.01914,,ISAAKiel,,,,,,Packages and libraries,R,API interfaces and web scrapers,,,,,,https://archive.org/details/github.com-ropensci-c14bazAAR_-_2021-01-28_19-41-36
paleofire,An R package to analyse sedimentary charcoal records from the Global Charcoal Database to reconstruct past biomass burning,https://github.com/oblarquez/paleofire,,,,,,,,,,,https://www.gpwg.paleofire.org/,,,oblarquez,,,,,,Packages and libraries,R,API interfaces and web scrapers,,,,,,https://archive.org/details/github.com-oblarquez-paleofire_-_2020-02-14_20-29-05
GCD,Global Charcoal Database,https://github.com/oblarquez/GCD,,,,,,,,,,,,,,oblarquez,,,,,,Lists and datasets,,Datasets,,,,,,https://archive.org/details/github.com-oblarquez-GCD_-_2020-10-26_18-54-03
Roman-material-database-info,An interactive database of construction materials used in antiquity meant to enable creation of 3D and virtual reality (VR) models of historic structures.,https://github.com/rkn2/Roman-material-database-info,,,,,,,,,,,,,,rkn2,,,,,,Lists and datasets,,Datasets,,,,,,https://archive.org/details/github.com-rkn2-Roman-material-database-info_-_2018-06-07_15-08-29
archaeology-data-service,An app to collect data on archaeological objects.,https://github.com/anatolian/archaeology-data-service,,,,,,,,,,,,,,anatolian,,,,,,Packages and libraries,Mobile app,API interfaces and web scrapers,,,,,,https://archive.org/details/github.com-anatolian-archaeology-data-service_-_2020-06-05_18-22-23
munsell-plot.R,Make a stratigraphic-style plot-schematic of sediment colour using munsell values,,https://gist.github.com/benmarwick/f32cbc2fe7297ec9f276b52c118a249a,,,,,,,,,,,,,benmarwick,,,,,,Scripts,R,Diagrams and visualizations,,,,,,https://archive.org/details/gist.github.com-f32cbc2fe7297ec9f276b52c118a249a_-_2019-03-16_00-28-14
Ceramic-Frequency-Date-Plot,This R script produces a exploratory visual for assessing site date ranges originally suggested to me by Wesley Bernardini Redlands University,https://github.com/mpeeples2008/Ceramic-Frequency-Date-Plot,,,,,,,,,,,,,,mpeeples2008,,,,,,Scripts,R,Diagrams and visualizations,Ceramic analysis,,,,,https://archive.org/details/github.com-mpeeples2008-Ceramic-Frequency-Date-Plot_-_2018-05-11_04-48-23
Ford-Diagram,This R Function creates a simple Ford diagram for archaeological seriation with error bars determined based on sample size were count data are given,https://github.com/mpeeples2008/Ford-Diagram,,,,,,,,,,,,,,mpeeples2008,,,,,,Scripts,R,Diagrams and visualizations,Seriation,,,,,https://archive.org/details/github.com-mpeeples2008-Ford-Diagram_-_2019-01-14_18-46-58
osteoGIS,Plot data on skeletal templates quickly,https://github.com/davidcorton/osteoGIS,,,,,,,,,,,,,,davidcorton,,,,,,Packages and libraries,R,Diagrams and visualizations,,,,,,https://archive.org/details/github.com-davidcorton-osteoGIS_-_2016-11-30_23-04-56
munsell,"Provides easy access to, and manipulation of, the Munsell colours",https://github.com/cwickham/munsell/,,,,,,,,https://cran.r-project.org/web/packages/munsell/index.html,,,,,,cwickham,,,,,,Packages and libraries,R,Diagrams and visualizations,,,,,,https://archive.org/details/github.com-cwickham-munsell_-_2019-09-24_04-56-16
khroma,Colour Schemes for Archaeological Data Visualization,https://github.com/tesselle/khroma,,,,,,,,https://CRAN.R-project.org/package=khroma,,,https://packages.tesselle.org/khroma/,,10.5281/zenodo.1472077,nfrerebeau,tesselle,,,,,Packages and libraries,R,Diagrams and visualizations,,,,,,https://archive.org/details/github.com-tesselle-khroma_-_2021-01-26_17-55-46
rekrei,Platform for crowdsourcing the digital recreation of lost heritage,https://github.com/rekrei/rekrei,,,,,,,,,,,,,,rekrei,,,,,,Standalone software,,Platforms and publications,,,,,,https://archive.org/details/github.com-rekrei-rekrei_-_2021-01-14_19-27-48
archaeological-object-sharing,"An online space for sharing data, 3d models, etc about archaeological objects to enable the comparison of these objects.",https://github.com/anatolian/archaeological-object-sharing,,,,,,,,,,,,,,anatolian,,,,,,Standalone software,,Platforms and publications,,,,,,https://archive.org/details/github.com-anatolian-archaeological-object-sharing_-_2017-01-25_19-13-38
Open Context Python Code Repository,"This project represents the current evolution of Open Context. It's intended to be an easier to maintain code-base, and to make the data published by Open Context easier to maintain.",https://github.com/ekansa/open-context-py,,,,,,,,,,,,,,Open Context,,,,,,Standalone software,,Platforms and publications,,,,,,https://archive.org/details/github.com-ekansa-open-context-py_-_2021-02-01_02-54-37
paleocore,Towards a data standard for paleoanthropology.,https://github.com/paleocore/paleocore-retired,,,,,,,,,,,https://paleocore.org/,,,paleocore,,,,,,Standalone software,,Platforms and publications,,,,,,https://archive.org/details/github.com-paleocore-paleocore-retired_-_2018-01-05_20-00-41
NRHP_Metadata_Scheme,"Metadata scheme for National Register of Historic Places, transcribed from the National Park Service NPS Bulletin 16",https://github.com/aejolene/NRHP_Metadata_Scheme,,,,,,,,,,,,,,aejolene,,,,,,"Specifications, protocols and schemas",,Schemas and ontologies,,,,,,https://archive.org/details/github.com-aejolene-NRHP_Metadata_Scheme_-_2019-03-21_20-40-51
ARCSCore,ARCSCore is a metadata standard for organizing and sharing digital versions of non-digital documents created during the course of an archaeological investigation,https://github.com/matrix-msu/ARCSCore,,,,,,,,,,,,,,matrix-msu,,,,,,"Specifications, protocols and schemas",,Schemas and ontologies,,,,,,https://archive.org/details/github.com-matrix-msu-ARCSCore_-_2019-05-07_17-19-47
archvocab,The ArchVocab ontologies by Leif Isaksen,https://github.com/archaeology/archvocab,,,,,,,,,,,https://web.archive.org/web/20101229001934/http://archvocab.net/,,,steko,,,,,,"Specifications, protocols and schemas",,Schemas and ontologies,,,,,,https://archive.org/details/github.com-archaeology-archvocab_-_2016-02-20_17-56-55
rppsfs,Roman Peasant Project Small Finds Ontology,https://github.com/scollinselliott/rppsf,,,,,,,,,,,,,,scollinselliott,,,,,,"Specifications, protocols and schemas",,Schemas and ontologies,,,,,,https://archive.org/details/github.com-scollinselliott-rppsf_-_2018-11-08_03-52-43
inclusions,Shortcodes to describe inclusions in ceramic bodies.,,,,,,,,,,,https://codeberg.org/steko/inclusions,,,,steko,,,,,,"Specifications, protocols and schemas",,Schemas and ontologies,Ceramic analysis,,,,,https://archive.org/details/codeberg.org-steko-inclusions_-_2019-10-26_17-03-54
poseidon-framework,"Poseidon is a framework that seeks to provide standardized ways to store and share archaeogenetic, and perhaps more broadly, molecular archaeological datasets.",https://github.com/poseidon-framework/poseidon-hs,,,,,,,,,,,https://www.poseidon-adna.org,,,poseidon-framework,,,,,,Standalone software,,Schemas and ontologies,Archaeogenetics,,,,,https://archive.org/details/github.com-poseidon-framework-poseidon-hs_-_2021-02-09_09-16-28
totalopenstation,Total Open Station downloads and exports survey data from your total station.,https://github.com/steko/totalopenstation,,,,,,,,,,,https://tops.iosa.it/,,,steko,,,,,,Standalone software,,Drivers and IO,,,,,,https://archive.org/details/github.com-steko-totalopenstation_-_2020-11-18_11-12-29
total-station-manuals,Manuals for total stations,,,,,,,,,,,https://codeberg.org/steko/total-station-manuals,,,,steko,,,,,,Guides,,Drivers and IO,,,,,,https://archive.org/details/codeberg.org-steko-total-station-manuals_-_2020-04-18_22-50-09
